Call_Date,Call_Time,province,district
17/09/2014,16:13:48,EAST,KENEMA
17/09/2014,16:25:03,EAST,KENEMA
17/09/2014,16:32:27,WEST,WESTERN RURAL
17/09/2014,16:35:09,WEST,WESTERN RURAL
17/09/2014,16:42:01,NORTH,PORT LOKO
17/09/2014,16:42:57,SOUTH,BONTHE
17/09/2014,16:47:08,WEST,WESTERN RURAL
17/09/2014,16:48:12,WEST,WESTERN URBAN
17/09/2014,16:48:28,WEST,WESTERN URBAN
17/09/2014,17:10:58,WEST,WESTERN URBAN
17/09/2014,17:13:47,NORTH,TONKOLILI
17/09/2014,17:28:39,WEST,WESTERN URBAN
has not yet been quarantine and they want surveillance team to visite that area.,ACTION,,
17/09/2014,17:33:00,WEST,WESTERN URBAN
17/09/2014,17:40:53,WEST,WESTERN URBAN
yet been tested for the ebola virus disease and she was working at the M.C.H. aid cline at waterloo.,ACTION,,
17/09/2014,17:42:58,EAST,KENEMA
17/09/2014,17:47:53,WEST,WESTERN URBAN
17/09/2014,17:56:44,SOUTH,PUJEHUN
17/09/2014,17:59:26,WEST,WESTERN URBAN
17/09/2014,18:04:07,NORTH,BOMBALI
17/09/2014,18:04:32,WEST,WESTERN URBAN
17/09/2014,18:05:17,EAST,KONO
17/09/2014,18:11:26,EAST,KONO
17/09/2014,18:12:48,EAST,KONO
17/09/2014,18:13:38,EAST,KONO
17/09/2014,18:19:04,SOUTH,BO
17/09/2014,18:31:00,NORTH,BOMBALI
17/09/2014,18:36:56,WEST,WESTERN RURAL
17/09/2014,18:48:22,NORTH,BOMBALI
17/09/2014,18:51:47,NORTH,BOMBALI
17/09/2014,18:54:10,EAST,KONO
17/09/2014,18:54:47,WEST,WESTERN URBAN
17/09/2014,18:58:41,NORTH,BOMBALI
17/09/2014,18:59:36,WEST,WESTERN RURAL
17/09/2014,19:04:56,NORTH,PORT LOKO
17/09/2014,19:09:20,NORTH,BOMBALI
for the ebola virus.,FOLLOW UP COMPLETE,,
17/09/2014,19:21:44,NORTH,PORT LOKO
17/09/2014,19:22:04,NORTH,BOMBALI
17/09/2014,19:31:22,NORTH,BOMBALI
17/09/2014,19:42:03,NORTH,PORT LOKO
17/09/2014,20:05:36,EAST,KONO
17/09/2014,20:09:14,WEST,WESTERN RURAL
17/09/2014,20:18:31,EAST,KAILAHUN
17/09/2014,20:46:22,NORTH,KAMBIA
17/09/2014,20:56:46,SOUTH,BO
17/09/2014,21:55:52,NORTH,PORT LOKO
17/09/2014,22:21:03,NORTH,PORT LOKO
17/09/2014,22:21:59,WEST,WESTERN URBAN
17/09/2014,22:30:32,NORTH,BOMBALI
17/09/2014,22:31:49,WEST,WESTERN RURAL
17/09/2014,22:38:07,WEST,WESTERN URBAN
17/09/2014,22:42:07,WEST,WESTERN RURAL
17/09/2014,22:50:25,EAST,KAILAHUN
17/09/2014,22:51:19,WEST,WESTERN RURAL
17/09/2014,22:58:14,SOUTH,BO
17/09/2014,22:59:16,WEST,WESTERN URBAN
17/09/2014,23:03:11,WEST,WESTERN URBAN
17/09/2014,23:08:39,NORTH,PORT LOKO
17/09/2014,23:16:16,SOUTH,PUJEHUN
17/09/2014,23:20:38,SOUTH,MOYAMBA
17/09/2014,23:41:31,WEST,WESTERN URBAN
18/09/2014,00:12:01,NORTH,KAMBIA
18/09/2014,00:23:28,EAST,KENEMA
18/09/2014,00:31:04,WEST,WESTERN URBAN
18/09/2014,00:35:20,SOUTH,PUJEHUN
18/09/2014,00:42:35,WEST,WESTERN URBAN
18/09/2014,03:22:39,WEST,WESTERN URBAN
18/09/2014,03:42:37,WEST,WESTERN URBAN
18/09/2014,03:48:23,WEST,WESTERN RURAL
18/09/2014,04:04:45,EAST,KENEMA
18/09/2014,04:17:08,WEST,WESTERN RURAL
18/09/2014,04:18:43,NORTH,PORT LOKO
18/09/2014,04:26:45,WEST,WESTERN URBAN
18/09/2014,05:01:30,EAST,KAILAHUN
18/09/2014,05:17:30,WEST,WESTERN URBAN
18/09/2014,05:32:17,NORTH,BOMBALI
18/09/2014,06:07:46,SOUTH,BO
18/09/2014,06:22:35,NORTH,BOMBALI
18/09/2014,06:23:47,WEST,WESTERN URBAN
18/09/2014,06:32:01,NORTH,TONKOLILI
18/09/2014,06:34:19,WEST,WESTERN URBAN
18/09/2014,06:42:43,EAST,KENEMA
18/09/2014,06:54:20,NORTH,TONKOLILI
